trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,2736184,2,12.5,9.5,1644,16212,-1640,,,,,
1,2739184,2,12.5,9.5,1728,16240,-1536,,,,,
1,2741184,2,12.5,9.5,1656,16272,-1652,,,,,
1,2744184,2,12.5,9.5,1996,16264,-1656,,,,,
1,2746184,2,12.5,9.5,1460,16240,-1788,,,,,
1,2749184,2,12.5,9.5,1876,16156,-1756,,,,,
1,2751184,2,12.5,9.5,1860,16224,-1676,,,,,
1,2754184,2,12.5,9.5,1996,16284,-1860,,,,,
1,2756184,2,12.5,9.5,1572,16184,-1756,,,,,
1,2759184,2,12.5,9.5,1792,16276,-1580,,,,,
1,2761184,2,12.5,9.5,1568,16332,-1836,,,,,
1,2764184,2,12.5,9.5,1832,16204,-1528,,,,,
1,2766184,2,12.5,9.5,1404,16268,-1668,,,,,
1,2769184,2,12.5,9.5,1692,16176,-1648,,,,,
1,2771184,2,12.5,9.5,1684,16176,-1692,,,,,
1,2774184,2,12.5,9.5,1276,16204,-1700,,,,,
1,2776184,2,12.5,9.5,2020,16220,-1476,,,,,
1,2779184,2,12.5,9.5,1736,16152,-1668,,,,,
1,2781184,2,12.5,9.5,1532,16184,-1752,,,,,
1,2784184,2,12.5,9.5,1656,16128,-1576,,,,,
1,2786184,2,12.5,9.5,1640,16044,-1648,,,,,
1,2789184,2,12.5,9.5,1632,16224,-1704,,,,,
1,2791184,2,12.5,9.5,1580,16156,-1636,,,,,
1,2794184,2,12.5,9.5,1688,16172,-1828,,,,,
1,2796184,2,12.5,9.5,1680,16264,-1804,,,,,
1,2799184,2,12.5,9.5,1720,16212,-1760,,,,,
1,2801184,2,12.5,9.5,1556,16284,-1768,,,,,
1,2804184,2,12.5,9.5,1820,16252,-1680,,,,,
1,2806184,2,12.5,9.5,1616,16148,-1816,,,,,
1,2809184,2,12.5,9.5,1668,16376,-1584,,,,,
1,2811184,2,12.5,9.5,1488,16184,-1872,,,,,
1,2814184,2,12.5,9.5,1288,16164,-1884,,,,,
1,2816184,2,12.5,9.5,2104,16304,-1640,,,,,
