t_us,phase,ax,ay,az
2050955,2,1900,16180,-1200
2053455,2,2036,16284,-1268
2055955,2,2084,16360,-1384
2058456,2,2040,16272,-1284
2060956,2,2012,16288,-1308
2063456,2,2096,16184,-1164
2065955,2,1956,16180,-1400
2068456,2,1968,16124,-1432
2070956,2,1780,16108,-1708
2073456,2,1780,16204,-1456
2075956,2,1748,16108,-1424
2078456,2,1756,16132,-1468
2080956,2,1784,16116,-1572
2083456,2,1968,16108,-1556
2085956,2,2016,16160,-1436
2088456,2,1968,16172,-1560
2090956,2,2148,16204,-1496
2093456,2,1900,16176,-1640
2095956,2,1904,16184,-1536
2098456,2,1868,16148,-1524
2100955,2,1748,16196,-1516
2103456,2,1796,16132,-1592
2105956,2,1820,16048,-1448
2108456,2,1852,16064,-1504
2110956,2,1948,16228,-1436
2113456,2,1952,16140,-1404
2115955,2,1964,16196,-1484
2118456,2,2068,16252,-1328
2120956,2,1992,16192,-1448
2123456,2,2096,16248,-1244
2125956,2,1892,16268,-1224
2128456,2,1908,16180,-1284
2130956,2,1916,16196,-1408
2133456,2,1852,16220,-1436
2135956,2,1888,16152,-1372
2138456,2,2060,16232,-1460
2140956,2,2052,16116,-1408
2143456,2,2036,16240,-1388
2145956,2,2004,16196,-1536
2148456,2,2116,16220,-1380
2150955,2,1908,16192,-1452
2153455,2,1872,16192,-1316
2155955,2,1840,16220,-1544
2158456,2,1852,16188,-1340
2160956,2,1860,16120,-1500
2163456,2,1812,16068,-1544
2165955,2,1892,16200,-1512
2168456,2,2060,16180,-1340
2170956,2,1944,16092,-1592
2173456,2,2140,16040,-1632
2175956,2,1976,16008,-1532
2178456,2,1932,16124,-1424
2180956,2,1828,16028,-1480
2183456,2,1796,16128,-1472
2185956,2,1760,16128,-1400
2188456,2,1672,16188,-1612
2190956,2,1800,16176,-1440
2193456,2,1932,16208,-1556
2195956,2,1968,16208,-1388
2198456,2,2052,16172,-1536
2200955,2,1968,16248,-1316
2203455,2,2004,16272,-1492
2205955,2,2068,16316,-1468
2208456,2,1896,16192,-1464
2210956,2,1948,16264,-1412
2213456,2,1768,16192,-1392
2215955,2,1840,16248,-1444
2218456,2,1864,16216,-1452
2220956,2,1836,16160,-1408
2223456,2,1984,16292,-1432
2225956,2,2076,16180,-1388
2228456,2,2008,16312,-1504
2230956,2,2012,16172,-1444
2233456,2,2016,16164,-1536
2235956,2,1980,16144,-1596
2238456,2,1760,16244,-1548
2240956,2,1696,16080,-1504
2243456,2,1772,16152,-1612
2245956,2,1696,16200,-1492
2248456,2,1788,16116,-1672
2250955,2,1928,16212,-1480
