trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,838199,1,21.178,4.500,1836,15660,3276,,,,,,,
1,840202,1,21.137,4.500,2108,16228,2276,,,,,,,
1,843202,1,21.075,4.500,1324,15664,1956,,,,,,,
1,845215,1,21.032,4.500,-664,15512,992,,,,,,,
1,848205,1,20.967,4.500,-736,14944,816,,,,,,,
1,850204,1,20.923,4.500,980,15736,488,,,,,,,
1,853206,1,20.855,4.500,580,14744,1808,,,,,,,
1,855198,1,20.809,4.500,1788,15668,1636,,,,,,,
1,858201,1,20.739,4.500,2024,16420,656,,,,,,,
1,860207,1,20.692,4.500,1816,17316,212,,,,,,,
1,863202,1,20.619,4.500,3184,15584,2060,,,,,,,
1,865199,1,20.571,4.500,2584,16480,1144,,,,,,,
1,868198,1,20.496,4.500,2260,17324,-920,,,,,,,
1,870203,1,20.445,4.500,1736,16296,-632,,,,,,,
1,873206,1,20.368,4.500,1992,16376,-480,,,,,,,
1,875201,1,20.316,4.500,2284,16596,-720,,,,,,,
1,878199,1,20.237,4.500,-860,15496,-584,,,,,,,
1,880212,1,20.184,4.500,-1108,16036,-1424,,,,,,,
1,883199,1,20.104,4.500,1048,16708,-1176,,,,,,,
1,885201,1,20.050,4.500,1364,15756,-240,,,,,,,
1,888198,1,19.969,4.500,1016,17100,-1368,,,,,,,
1,890200,1,19.915,4.500,1188,16264,-320,,,,,,,
1,893198,1,19.834,4.500,3868,15580,620,,,,,,,
1,895199,1,19.780,4.500,2880,16580,-708,,,,,,,
1,898198,1,19.699,4.500,1800,16036,-676,,,,,,,
1,900200,1,19.645,4.500,2800,16628,-460,,,,,,,
1,903211,1,19.564,4.500,3840,14940,1376,,,,,,,
1,905198,1,19.511,4.500,2152,16560,-1132,,,,,,,
1,908198,1,19.430,4.500,1068,17520,-2312,,,,,,,
1,910198,1,19.377,4.500,1140,15300,-24,,,,,,,
1,913207,1,19.296,4.500,1588,16348,-2192,,,,,,,
1,915202,1,19.243,4.500,884,17456,-4204,,,,,,,
1,918203,1,19.163,4.500,-160,15716,-2132,,,,,,,
1,920201,1,19.110,4.500,-732,15740,-2556,,,,,,,
1,923196,1,19.032,4.500,492,16408,-2824,,,,,,,
1,925199,1,18.981,4.500,-744,16556,-3568,,,,,,,
1,928215,1,18.904,4.500,1160,15780,-3088,,,,,,,
1,930198,1,18.854,4.500,3780,17860,-4236,,,,,,,
1,933201,1,18.781,4.500,2948,16744,-3708,,,,,,,
1,935202,1,18.732,4.500,1852,15672,-3904,,,,,,,
1,938198,1,18.661,4.500,2636,17008,-4956,,,,,,,
1,940197,1,18.614,4.500,2272,16156,-4172,,,,,,,
1,943199,1,18.545,4.500,1556,15728,-4060,,,,,,,
1,945202,1,18.500,4.500,2924,15580,-4104,,,,,,,
1,948201,1,18.434,4.500,2800,16328,-4996,,,,,,,
1,950197,1,18.391,4.500,1232,16360,-5840,,,,,,,
1,953197,1,18.327,4.500,1684,16788,-6620,,,,,,,
1,955204,1,18.285,4.500,1020,17324,-7720,,,,,,,
1,958199,1,18.224,4.500,84,15868,-6300,,,,,,,
1,960200,1,18.184,4.500,1792,16156,-6312,,,,,,,
1,963198,1,18.126,4.500,456,16700,-7504,,,,,,,
1,965202,1,18.089,4.500,676,16952,-7372,,,,,,,
1,968198,1,18.034,4.500,2508,15592,-5044,,,,,,,
1,970204,1,17.998,4.500,1804,16072,-6372,,,,,,,
1,973198,1,17.947,4.500,2012,16560,-6772,,,,,,,
1,975202,1,17.914,4.500,1476,15824,-5776,,,,,,,
1,978219,1,17.865,4.500,3940,15064,-4144,,,,,,,
1,980201,1,17.834,4.500,4240,16544,-5040,,,,,,,
